InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
P62258	Q9UQL6	mint, intact, Biogrid, Hprd	1	1	6	10737771, 23752268, 10869435, 21081666, 24841198, 11114197
Q6P5Z2	Q13393	mint, Hprd	1	1	1	11259428
O60941	P11532	mint, intact, Biogrid, Hprd	1	1	5	9395493, 10545507, 25416956, unassigned1304, 28514442
Q13363	P37275	mint, Biogrid, Hprd	1	1	6	10359772, 17967884, 10567582, 25086746, 26186194, 28514442
P06730	Q13541	mint, intact, Dip, Biogrid, Hprd	1	1	42	7935836, 10772338, 7651417, 16189514, 16504179, 15153109, 17353931, 20224576, 19834456, 24211447, 25416956, unassigned1304, 20880835, 18955708, 21191102, 22678294, 16242075, 16824195, 10405182, 12071973, 10753870, 10698949, 10364159, 16648488, 11605658, 18957614, 22586265, 12588975, 16798736, 15767663, 24722188, 21798997, 22509910, 26186194, 26344197, 12747804, 28514442, 11553333, 8816458, 15094042, 16271312, 17254965
Q13542	P06730	mint, intact, Dip, Biogrid, Hprd	1	1	13	7935836, 15153109, 25416956, unassigned1304, 24207126, 7651417, 24722188, 26186194, 20347422, 26344197, 28514442, 8939971, 16271312
P06400	P06400	mint, intact, Hprd	1	1	4	8288605, 16360038, 11268000, 12502741
Q06187	Q06187	mint, intact, Biogrid, Hprd	1	1	10	11231015, 11577348, 11527964, 11373296, 10427990, 8630736, 12445832, 11598012, 8629002, 12573241
O43426	O94875	mint, Hprd	1	1	1	11292345
Q99962	O43426	mint, Biogrid, Hprd	1	1	4	11292345, 9341169, 10542231, 9238017
P06400	P62136	mint, intact, Dip, Biogrid, Hprd	1	1	4	8384581, 17274640, 12434308, 17008050
Q96CV9	P42858	mint, intact, Biogrid, Hprd	1	1	4	11137014, 23275563, 17500595, 9700202
Q16650	O14936	mint, Biogrid, Hprd	1	1	3	11377421, 10749215, 15066269
O14936	Q9Y2J0	mint, Biogrid, Hprd	1	1	1	11377421
P55210	P55210	mint, Biogrid, Hprd	1	1	3	11257230, 18723680, 11752425
P55210	P98170	mint, intact, Biogrid, Hprd	1	1	14	11257230, 9525868, 11257231, 11257232, 9384571, 9230442, 11359776, 15200957, 15580265, 18521960, 14512414, 19698783, 23074197, 23979166
P42574	P98170	mint, intact, Dip, Biogrid, Hprd	1	1	27	11257232, 9525868, 25241761, 19273858, 11447297, 11927604, 9384571, 9230442, 11359776, 15200957, 22072751, 15507451, 12624662, 18521960, 15650747, 16543147, 17069460, 16869888, 11257230, 17291493, 19698783, 22815893, 18723680, 23074197, 23979166, 26186194, 28514442
O14974	Q09013	mint, Hprd	1	1	6	11287000, 21457715, 12600888, 10601309, 11931630, 12220642
P04637	P42858	mint, Biogrid, Hprd	1	1	1	10823891
Q92793	P42858	mint, intact, Biogrid, Hprd	1	1	6	10823891, 17500595, 11264541, 16456924, 15994095, 11607033
P04637	Q92793	mint, intact, Dip, Biogrid, Hprd	1	1	29	10823891, 9194564, 10196247, 25314079, 19805293, 19234109, 12426395, 11782467, 10848610, 18485870, 19166313, 16537920, 15632413, 9288775, 14722092, 21390126, 10551785, 22084066, 20962272, 19357310, 19880525, 17434128, 14759370, 12154097, 25451029, 26976603, 18753379, 23908595, 27618436
Q96ST3	P04637	mint, intact, Biogrid, Hprd	1	1	3	10823891, 11359905, 10521394
P42858	Q96ST3	mint, Hprd	2	2	1	10823891
Q99523	Q9UJY4	mint, Biogrid, Hprd	1	1	3	11331584, 11390366, 11821067
Q9NR28	Q13490	mint, intact, Biogrid, Hprd	1	1	13	10929712, 16282325, 19153467, 12865429, 14960576, 12525502, 19506082, 20957035, 12218061, 25065467, 25246529, 27476169, 28514442
Q9NR28	Q13489	mint, intact, Biogrid, Hprd	1	1	7	10929712, 16282325, 14960576, 12525502, 20957035, 25065467, 27476169
P35609	P22459	mint, Hprd	1	1	1	11389904
P22460	P35609	mint, Biogrid, Hprd	1	1	3	11389904, 12860415, 10812072
Q16665	O14818	mint, Biogrid, Hprd	1	1	2	11389899, 18313384
